Sort,Unicode,Char,DevName,PostName,Set,UnicodeName,OTL,Comment
48,0x01FC,Ǽ,AEacute,AEacute,Euro,LATIN CAPITAL LETTER AE WITH ACUTE,,
49,0x0106,Ć,Cacute,Cacute,Euro,LATIN CAPITAL LETTER C WITH ACUTE,,
50,0x0108,Ĉ,Ccircumflex,Ccircumflex,Euro,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,,
51,0x010C,Č,Ccaron,Ccaron,PNWIL+Euro,LATIN CAPITAL LETTER C WITH CARON,,
52,0x010A,Ċ,Cdotaccent,Cdotaccent,Euro,LATIN CAPITAL LETTER C WITH DOT ABOVE,,
53,0x00C7,Ç,Ccedilla,Ccedilla,Euro,LATIN CAPITAL LETTER C WITH CEDILLA,,
54,0x023B,Ȼ,Cslash,uni023B,PNWIL,LATIN CAPITAL LETTER C WITH STROKE,,
55,0x010E,Ď,Dcaron,Dcaron,Euro,LATIN CAPITAL LETTER D WITH CARON,,
56,0x1E0E,Ḏ,Dmacronbelow,uni1E0E,PNWIL,LATIN CAPITAL LETTER D WITH LINE BELOW,,
57,,,Dlinebelow,uni00440332,PNWIL,,ccmp,Contextual width component
58,0x0110,Đ,Dcroat,Dcroat,Euro,LATIN CAPITAL LETTER D WITH STROKE,,
59,0x00C8,È,Egrave,Egrave,PNWIL+Euro,LATIN CAPITAL LETTER E WITH GRAVE,,
60,0x00C9,É,Eacute,Eacute,PNWIL+Euro,LATIN CAPITAL LETTER E WITH ACUTE,,
61,0x00CA,Ê,Ecircumflex,Ecircumflex,PNWIL+Euro,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,,
62,0x011A,Ě,Ecaron,Ecaron,PNWIL+Euro,LATIN CAPITAL LETTER E WITH CARON,,
63,0x00CB,Ë,Edieresis,Edieresis,PNWIL+Euro,LATIN CAPITAL LETTER E WITH DIAERESIS,,
64,0x0112,Ē,Emacron,Emacron,PNWIL+Euro,LATIN CAPITAL LETTER E WITH MACRON,,
65,0x1E16,Ḗ,Emacronacute,uni1E16,PNWIL,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE,,
66,0x0114,Ĕ,Ebreve,Ebreve,Euro,LATIN CAPITAL LETTER E WITH BREVE,,
67,0x0116,Ė,Edotaccent,Edotaccent,Euro,LATIN CAPITAL LETTER E WITH DOT ABOVE,,
68,0x0118,Ę,Eogonek,Eogonek,PNWIL,LATIN CAPITAL LETTER E WITH OGONEK,,Default = ogonek centered below
69,,,Eogonek.euro,Eogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
70,,,Eogonek.alt,Eogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
71,,,Eogonek.alt2,Eogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
72,0x011C,Ĝ,Gcircumflex,Gcircumflex,PNWIL+Euro,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,,
73,0x01E6,Ǧ,Gcaron,uni01E6,PNWIL,LATIN CAPITAL LETTER G WITH CARON,,
74,0x1E20,Ḡ,Gmacron,uni1E20,PNWIL,LATIN CAPITAL LETTER G WITH MACRON,,
75,0x011E,Ğ,Gbreve,Gbreve,Euro,LATIN CAPITAL LETTER G WITH BREVE,,
76,0x0120,Ġ,Gdotaccent,Gdotaccent,Euro,LATIN CAPITAL LETTER G WITH DOT ABOVE,,
77,0x0122,Ģ,Gcommaaccent,uni0122,Euro,LATIN CAPITAL LETTER G WITH CEDILLA,,
78,0x01E4,Ǥ,Gbar,uni01E4,PNWIL,LATIN CAPITAL LETTER G WITH STROKE,,
79,0x0124,Ĥ,Hcircumflex,Hcircumflex,Euro,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,,
80,0x021E,Ȟ,Hcaron,uni021E,NA+,LATIN CAPITAL LETTER H WITH CARON,,TQ-INAT p.148 Lakȟótiyapi (Lakota)
81,0x1E24,Ḥ,Hdotbelow,uni1E24,PNWIL,LATIN CAPITAL LETTER H WITH DOT BELOW,,
82,0x0126,Ħ,Hbar,Hbar,PNWIL+Euro,LATIN CAPITAL LETTER H WITH STROKE,,
83,0x00CC,Ì,Igrave,Igrave,PNWIL+Euro,LATIN CAPITAL LETTER I WITH GRAVE,,
84,0x00CD,Í,Iacute,Iacute,PNWIL+Euro,LATIN CAPITAL LETTER I WITH ACUTE,,
85,0x00CE,Î,Icircumflex,Icircumflex,PNWIL+Euro,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,,
86,0x01CF,Ǐ,Icaron,uni01CF,PNWIL,LATIN CAPITAL LETTER I WITH CARON,,
87,0x0128,Ĩ,Itilde,Itilde,Euro,LATIN CAPITAL LETTER I WITH TILDE,,
88,0x00CF,Ï,Idieresis,Idieresis,PNWIL+Euro,LATIN CAPITAL LETTER I WITH DIAERESIS,,
89,0x012A,Ī,Imacron,Imacron,PNWIL+Euro,LATIN CAPITAL LETTER I WITH MACRON,,
90,0x012C,Ĭ,Ibreve,Ibreve,Euro,LATIN CAPITAL LETTER I WITH BREVE,,
91,0x0130,İ,Idotaccent,Idotaccent,Euro,LATIN CAPITAL LETTER I WITH DOT ABOVE,,
92,0x012E,Į,Iogonek,Iogonek,PNWIL+Euro,LATIN CAPITAL LETTER I WITH OGONEK,,
93,,,Iogonek.alt,Iogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
94,,,Iogonek.alt2,Iogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
95,0x1ECA,Ị,Idotbelow,uni1ECA,PNWIL,LATIN CAPITAL LETTER I WITH DOT BELOW,,
96,0x0197,Ɨ,Ibar,uni0197,PNWIL,LATIN CAPITAL LETTER I WITH STROKE,,
97,0x0134,Ĵ,Jcircumflex,Jcircumflex,Euro,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,,
98,,,Jcaron,uni004A030C,PNWIL,,ccmp,
99,0x0248,Ɉ,Jbar,uni0248,NA+,LATIN CAPITAL LETTER J WITH STROKE,,TQ-INAT p.104 Inuinnaqtun
100,0x1E30,Ḱ,Kacute,uni1E30,PNWIL,LATIN CAPITAL LETTER K WITH ACUTE,,
101,0x0136,Ķ,Kcommaaccent,uni0136,Euro,LATIN CAPITAL LETTER K WITH CEDILLA,,
102,0x1E34,Ḵ,Kmacronbelow,uni1E34,PNWIL,LATIN CAPITAL LETTER K WITH LINE BELOW,,
103,,,Klinebelow,uni004B0332,PNWIL,,ccmp,Contextual width component
104,0x1E32,Ḳ,Kdotbelow,uni1E32,PNWIL,LATIN CAPITAL LETTER K WITH DOT BELOW,,
105,0x0139,Ĺ,Lacute,Lacute,Euro,LATIN CAPITAL LETTER L WITH ACUTE,,
106,0x013D,Ľ,Lcaron,Lcaron,Euro,LATIN CAPITAL LETTER L WITH CARON,,
107,0x013B,Ļ,Lcommaaccent,uni013B,Euro,LATIN CAPITAL LETTER L WITH CEDILLA,,
108,0x1E3A,Ḻ,Lmacronbelow,uni1E3A,NA+,LATIN CAPITAL LETTER L WITH LINE BELOW,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
109,,,Llinebelow,uni004C0332,NA+,,ccmp,Contextual width component
110,0x1E36,Ḷ,Ldotbelow,uni1E36,PNWIL,LATIN CAPITAL LETTER L WITH DOT BELOW,,
111,0x0141,Ł,Lslash,Lslash,PNWIL+Euro,LATIN CAPITAL LETTER L WITH STROKE,,
112,0x023D,Ƚ,Lbar,uni023D,PNWIL,LATIN CAPITAL LETTER L WITH BAR,,
113,0x2C60,Ⱡ,Ldblbar,uni2C60,NA+,LATIN CAPITAL LETTER L WITH DOUBLE BAR,,TQ-INAT p.126 Ktunaxa (Kutenai)
114,0x2C62,Ɫ,Lwavybar,uni2C62,PNWIL,LATIN CAPITAL LETTER L WITH MIDDLE TILDE,,
115,0xA7AD,Ɬ,Lbelt,uniA7AD,PNWIL,LATIN CAPITAL LETTER L WITH BELT,,
116,0x013F,Ŀ,Ldot,Ldot,Euro,LATIN CAPITAL LETTER L WITH MIDDLE DOT,,
117,0x1E3E,Ḿ,Macute,uni1E3E,NA+,LATIN CAPITAL LETTER M WITH ACUTE,,TQ-INAT p.106 Yupik
118,0x1E42,Ṃ,Mdotbelow,uni1E42,PNWIL,LATIN CAPITAL LETTER M WITH DOT BELOW,,
119,0x0143,Ń,Nacute,Nacute,Euro,LATIN CAPITAL LETTER N WITH ACUTE,,
120,0x0147,Ň,Ncaron,Ncaron,Euro,LATIN CAPITAL LETTER N WITH CARON,,
121,0x00D1,Ñ,Ntilde,Ntilde,Euro,LATIN CAPITAL LETTER N WITH TILDE,,
122,0x0145,Ņ,Ncommaaccent,uni0145,Euro,LATIN CAPITAL LETTER N WITH CEDILLA,,
123,0x1E48,Ṉ,Nmacronbelow,uni1E49,PNWIL,LATIN CAPITAL LETTER N WITH LINE BELOW,,
124,,N̲,Nlinebelow,uni004E0032,PNWIL,,ccmp,
125,0x1E46,Ṇ,Ndotbelow,uni1E46,PNWIL,LATIN CAPITAL LETTER N WITH DOT BELOW,,
126,0x00D2,Ò,Ograve,Ograve,PNWIL+Euro,LATIN CAPITAL LETTER O WITH GRAVE,,
127,0x00D3,Ó,Oacute,Oacute,PNWIL+Euro,LATIN CAPITAL LETTER O WITH ACUTE,,
128,0x00D4,Ô,Ocircumflex,Ocircumflex,PNWIL+Euro,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,,
129,0x01D1,Ǒ,Ocaron,uni01D1,PNWIL,LATIN CAPITAL LETTER O WITH CARON,,
130,0x00D5,Õ,Otilde,Otilde,Euro,LATIN CAPITAL LETTER O WITH TILDE,,
131,0x00D6,Ö,Odieresis,Odieresis,Euro,LATIN CAPITAL LETTER O WITH DIAERESIS,,
132,0x014C,Ō,Omacron,Omacron,PNWIL+Euro,LATIN CAPITAL LETTER O WITH MACRON,,
133,0x1E52,Ṓ,Omacronacute,uni1E52,PNWIL,LATIN CAPITAL LETTER O WITH MACRON AND ACUTE,,
134,0x014E,Ŏ,Obreve,Obreve,Euro,LATIN CAPITAL LETTER O WITH BREVE,,
135,0x0150,Ő,Ohungarumlaut,Ohungarumlaut,Euro,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,,
136,0x022E,Ȯ,Odotaccent,uni022E,NA+,LATIN CAPITAL LETTER O WITH DOT ABOVE,,e.g. Cheyenne voiceless (Wikipedia)
137,0x01EA,Ǫ,Oogonek,uni01EA,PNWIL,LATIN CAPITAL LETTER O WITH OGONEK,,
138,,,Oogonek.alt,Oogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
139,,,Oogonek.alt2,Oogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
140,0x01EC,Ǭ,Oogonekmacron,uni01EC,PNWIL,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON,,
141,,,Oogonekmacron.alt,uni01EC.alt,PNWIL,,locl(CHP) / ss02,
142,,,Oogonekmacron.alt2,uni01EC.alt2,PNWIL,,"locl(CAY,ONO,SEE) / ss03",
143,0x00D8,Ø,Oslash,Oslash,Euro,LATIN CAPITAL LETTER O WITH STROKE,,
144,0x01FE,Ǿ,Oslashacute,Oslashacute,Euro,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,,
145,0x019F,Ɵ,Obar,uni019F,PNWIL,LATIN CAPITAL LETTER O WITH MIDDLE TILDE,,Misencoding of theta?
146,0x0152,Œ,OE,OE,Euro,LATIN CAPITAL LIGATURE OE,,
147,0x0154,Ŕ,Racute,Racute,Euro,LATIN CAPITAL LETTER R WITH ACUTE,,
148,0x0158,Ř,Rcaron,Rcaron,Euro,LATIN CAPITAL LETTER R WITH CARON,,
149,0x0156,Ŗ,Rcommaaccent,uni0156,Euro,LATIN CAPITAL LETTER R WITH CEDILLA,,
150,0x015A,Ś,Sacute,Sacute,Euro,LATIN CAPITAL LETTER S WITH ACUTE,,
151,0x015C,Ŝ,Scircumflex,Scircumflex,PNWIL+Euro,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,,
152,0x0160,Š,Scaron,Scaron,PNWIL+Euro,LATIN CAPITAL LETTER S WITH CARON,,
153,0x015E,Ş,Scedilla,Scedilla,Euro,LATIN CAPITAL LETTER S WITH CEDILLA,,
154,0x0218,Ș,Scommaaccent,uni0218,Euro,LATIN CAPITAL LETTER S WITH COMMA BELOW,,
155,0x1E62,Ṣ,Sdotbelow,uni1E62,PNWIL,LATIN CAPITAL LETTER S WITH DOT BELOW,,
156,0x1E9E,ẞ,Germandbls,uni1E9E,Euro,LATIN CAPITAL LETTER SHARP S,,
157,0x0164,Ť,Tcaron,Tcaron,Euro,LATIN CAPITAL LETTER T WITH CARON,,
158,0x1E6A,Ṫ,Tdotaccent,uni1E6A,NA+,LATIN CAPITAL LETTER T WITH DOT ABOVE,,"TQ-INAT p.150 Iyâxe (Nakoda, Stoney, Assiniboine)"
159,0x0162,Ţ,Tcedilla,uni0162,Euro,LATIN CAPITAL LETTER T WITH CEDILLA,,
160,0x021A,Ț,Tcommaaccent,uni021A,Euro,LATIN CAPITAL LETTER T WITH COMMA BELOW,,
161,0x1E6E,Ṯ,Tmacronbelow,uni1E6E,PNWIL,LATIN CAPITAL LETTER T WITH LINE BELOW,,
162,,,Tlinebelow,uni00540332,PNWIL,,ccmp,Contextual width component
163,0x0166,Ŧ,Tbar,Tbar,Euro,LATIN CAPITAL LETTER T WITH STROKE,,
164,0x023E,Ⱦ,Tslash,uni023E,PNWIL,LATIN CAPITAL LETTER T WITH DIAGONAL STROKE,,
165,0x00D9,Ù,Ugrave,Ugrave,PNWIL+Euro,LATIN CAPITAL LETTER U WITH GRAVE,,
166,0x00DA,Ú,Uacute,Uacute,PNWIL+Euro,LATIN CAPITAL LETTER U WITH ACUTE,,
167,0x00DB,Û,Ucircumflex,Ucircumflex,PNWIL+Euro,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,,
168,0x01D3,Ǔ,Ucaron,uni01D3,PNWIL,LATIN CAPITAL LETTER U WITH CARON,,
169,0x0168,Ũ,Utilde,Utilde,Euro,LATIN CAPITAL LETTER U WITH TILDE,,
170,0x00DC,Ü,Udieresis,Udieresis,PNWIL+Euro,LATIN CAPITAL LETTER U WITH DIAERESIS,,
171,0x016A,Ū,Umacron,Umacron,PNWIL+Euro,LATIN CAPITAL LETTER U WITH MACRON,,
172,0x016C,Ŭ,Ubreve,Ubreve,Euro,LATIN CAPITAL LETTER U WITH BREVE,,
173,0x016E,Ů,Uring,Uring,Euro,LATIN CAPITAL LETTER U WITH RING ABOVE,,
174,0x0170,Ű,Uhungarumlaut,Uhungarumlaut,Euro,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,,
175,0x0172,Ų,Uogonek,Uogonek,PNWIL,LATIN CAPITAL LETTER U WITH OGONEK,,Default = ogonek centered below
176,,,Uogonek.euro,Uogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
177,,,Uogonek.alt,Uogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
178,,,Uogonek.alt2,Uogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
179,0x0244,Ʉ,Ubar,uni0244,NA+,LATIN CAPITAL LETTER U BAR,,TQ-INAT p.154 nʉmʉ tekwapʉ̱ (Comanche)
180,0x1E80,Ẁ,Wgrave,Wgrave,Euro,LATIN CAPITAL LETTER W WITH GRAVE,,
181,0x1E82,Ẃ,Wacute,Wacute,Euro,LATIN CAPITAL LETTER W WITH ACUTE,,
182,0x0174,Ŵ,Wcircumflex,Wcircumflex,PNWIL+Euro,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,,
183,0x1E84,Ẅ,Wdieresis,Wdieresis,Euro,LATIN CAPITAL LETTER W WITH DIAERESIS,,
184,0x1EF2,Ỳ,Ygrave,Ygrave,Euro,LATIN CAPITAL LETTER Y WITH GRAVE,,
185,0x00DD,Ý,Yacute,Yacute,Euro,LATIN CAPITAL LETTER Y WITH ACUTE,,
186,0x0176,Ŷ,Ycircumflex,Ycircumflex,Euro,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,,
187,0x0178,Ÿ,Ydieresis,Ydieresis,PNWIL+Euro,LATIN CAPITAL LETTER Y WITH DIAERESIS,,
188,0x0179,Ź,Zacute,Zacute,Euro,LATIN CAPITAL LETTER Z WITH ACUTE,,
189,0x1E90,Ẑ,Zcircumflex,uni1E90,PNWIL,LATIN CAPITAL LETTER Z WITH CIRCUMFLEX,,
190,0x017D,Ž,Zcaron,Zcaron,Euro,LATIN CAPITAL LETTER Z WITH CARON,,
191,0x017B,Ż,Zdotaccent,Zdotaccent,Euro,LATIN CAPITAL LETTER Z WITH DOT ABOVE,,
192,0x1E94,Ẕ,Zmacronbelow,uni1E94,PNWIL,LATIN CAPITAL LETTER Z WITH LINE BELOW,,
193,,,Zlinebelow,uni005A0332,PNWIL,,ccmp,Contextual width component
194,0x0245,Ʌ,Vturned,uni0245,NA+,LATIN CAPITAL LETTER TURNED V,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
195,0x039B,Λ,Lambda.Latin,Lambda.Latin,NA+,GREEK CAPITAL LETTER LAMBDA,,
196,0x018F,Ə,Schwa,uni018F,PNWIL,LATIN CAPITAL LETTER SCHWA,,
197,,,Schwaogonek,uni018F0328,NA+,,,"TQ-INAT p.124 Ska꞉rù꞉rę’ (Tuscarora, Skarù·rę’, Skarò˙rə̨ ˀ)"
198,,,Schwaogonek.alt,uni018F0328.alt,NA+,,locl(CHP) / ss02,
199,,,Schwaogonek.alt2,uni018F0328.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",
200,0x018E,Ǝ,Eturned,uni018E,NA+,LATIN CAPITAL LETTER REVERSED E,,"TQ-INAT p.109 Sahtúgot’įné Yat̨ı́ (North Slavey), Dene Zhatıé (South Slavey) (note: flipped, not turned)"
201,0x0190,Ɛ,Eopen,uni0190,PNWIL,LATIN CAPITAL LETTER OPEN E,,
202,0x0194,Ɣ,GammaLatin,uni0194,PNWIL,LATIN CAPITAL LETTER GAMMA,,
203,0xA7AE,Ɪ,Ibarred,uniA7AE,PNWIL,LATIN CAPITAL LETTER SMALL CAPITAL I,,Cummings: Quinault (inferred case mapping)
204,0x0196,Ɩ,IotaLatin,uni0196,PNWIL,LATIN CAPITAL LETTER IOTA,,
205,0xA7DA,Ꟛ,LambdaLatin,uniA7DA,PNWIL,LATIN CAPITAL LETTER LAMBDA,,
206,0xA7DC,Ƛ,Lambdabar,uniA7DC,PNWIL,LATIN CAPITAL LETTER LAMBDA WITH STROKE,,
207,,,Lambdabar.alt,uniA7DC.alt,PNWIL,,"locl(HEI,KWK,NUKI) / ss05",Variant with wavy bar.
208,,,Lambdabarcommaabove,uniA7DC0313,PNWIL,,ccmp,Precomposed diacritic
209,,,Lambdabarcommaabove.alt,uniA7DC0313.alt,PNWIL,,"locl(HEI,KWK,NUKI) / ss05",Variant with wavy bar.
210,0x014A,Ŋ,Eng,Eng,PNWIL+Euro,LATIN CAPITAL LETTER ENG,,N-shape
211,0x0220,Ƞ,Nlongright,uni0220,NA+,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG,,"TQ-INAT p.150 Iyâxe (Nakoda, Stoney, Assiniboine)"
212,0x0186,Ɔ,Oopen,uni0186,PNWIL,LATIN CAPITAL LETTER OPEN O,,
213,0x01B1,Ʊ,UpsilonLatin,uni01B1,PNWIL,LATIN CAPITAL LETTER UPSILON,,Note: form is upturned Omega
214,0x01B2,Ʋ,Vhook,uni01B2,PNWIL,LATIN CAPITAL LETTER V WITH HOOK,,
215,0x0398,Θ,Theta.Latin,Theta.Latin,PNWIL,GREEK CAPITAL LETTER THETA,,Latin form of Greek character
216,0x00D0,Ð,Eth,Eth,Euro,LATIN CAPITAL LETTER ETH,,
217,0x00DE,Þ,Thorn,Thorn,PNWIL+Euro,LATIN CAPITAL LETTER THORN,,
218,0xA7B3,Ꭓ,ChiLatin,uniA7B3,PNWIL,LATIN CAPITAL LETTER CHI,,
219,0x03A7,Χ,Chi.Latin,Chi.Latin,PNWIL,GREEK CAPITAL LETTER CHI,,Latin form of Greek character
220,0x0241,Ɂ,Glottalstop,uni0241,PNWIL,LATIN CAPITAL LETTER GLOTTAL STOP,,
221,0x0132,Ĳ,IJ,IJ,Euro,LATIN CAPITAL LIGATURE IJ,locl(NLD),
222,,,IJacute,uni01320301,Euro,,ccmp,
223,0x0061,a,a,a,PNWIL+Euro,LATIN SMALL LETTER A,,
224,0x0062,b,b,b,PNWIL+Euro,LATIN SMALL LETTER B,,
225,0x0063,c,c,c,PNWIL+Euro,LATIN SMALL LETTER C,,
226,0x0064,d,d,d,PNWIL+Euro,LATIN SMALL LETTER D,,
227,0x0065,e,e,e,PNWIL+Euro,LATIN SMALL LETTER E,,
228,0x0066,f,f,f,PNWIL+Euro,LATIN SMALL LETTER F,,
229,0x0067,g,g,g,PNWIL+Euro,LATIN SMALL LETTER G,,
230,,,g.2,g.2,PNWIL+Euro,,ss01,Roman (upright) only
231,0x0068,h,h,h,PNWIL+Euro,LATIN SMALL LETTER H,,
232,0x0069,i,i,i,PNWIL+Euro,LATIN SMALL LETTER I,ccmp,Dotless pre above mark
233,,,i.dotless,i.dotless,PNWIL+Euro,,,
234,0x006A,j,j,j,PNWIL+Euro,LATIN SMALL LETTER J,,
235,,,j.dotless,j.dotless,PNWIL+Euro,,ccmp,Dotless pre above mark
236,0x006B,k,k,k,PNWIL+Euro,LATIN SMALL LETTER K,,
237,0x006C,l,l,l,PNWIL+Euro,LATIN SMALL LETTER L,,
238,0x006D,m,m,m,PNWIL+Euro,LATIN SMALL LETTER M,,
239,0x006E,n,n,n,PNWIL+Euro,LATIN SMALL LETTER N,,
240,0x006F,o,o,o,PNWIL+Euro,LATIN SMALL LETTER O,,
241,0x0070,p,p,p,PNWIL+Euro,LATIN SMALL LETTER P,,
242,0x0071,q,q,q,PNWIL+Euro,LATIN SMALL LETTER Q,,
243,0x0072,r,r,r,PNWIL+Euro,LATIN SMALL LETTER R,,
244,0x0073,s,s,s,PNWIL+Euro,LATIN SMALL LETTER S,,
245,0x0074,t,t,t,PNWIL+Euro,LATIN SMALL LETTER T,,
246,0x0075,u,u,u,PNWIL+Euro,LATIN SMALL LETTER U,,
247,0x0076,v,v,v,PNWIL+Euro,LATIN SMALL LETTER V,,
